S0 f (kHz),S0 Phase velocity (m/ms),S0 Energy velocity (m/ms),S0 Propagation time (micsec),S0 Coincidence angle (deg),S0 Wavelength (mm),S0 Wavenumber (rad/mm),S0 Attenuation (Np/m),S1 f (kHz),S1 Phase velocity (m/ms),S1 Energy velocity (m/ms),S1 Propagation time (micsec),S1 Coincidence angle (deg),S1 Wavelength (mm),S1 Wavenumber (rad/mm),S1 Attenuation (Np/m),S2 f (kHz),S2 Phase velocity (m/ms),S2 Energy velocity (m/ms),S2 Propagation time (micsec),S2 Coincidence angle (deg),S2 Wavelength (mm),S2 Wavenumber (rad/mm),S2 Attenuation (Np/m)
272,6.61129143431349,6.35740368487451,15.7296917038506,2.97389389924081,24.3062185085055,0.258501144675422,0,1094.90543619792,16.8330043475348,0.054860247956377,1822.81348927764,1.16757604257428,15.3739343974652,0.408690784332704,0,1589.5,11.5879900083856,5.05633962565321,19.7771525260393,1.69618054533283,7.290336589107,0.861851195810044,0
280.5,6.60288206041796,6.33143453406737,15.7942089524787,2.97768483642385,23.5396864899036,0.266918818560923,0,1094.923828125,16.7330043475348,0.0602101456888342,1660.84966006891,1.17455470053186,15.2823456004142,0.411140113662218,0,1598,11.5097348146263,5.11299615995529,19.5580041274419,1.70771635616227,7.2025874935083,0.872351125597937,0
289,6.59413261604097,6.30439988974973,15.8619379716996,2.98163935438103,22.8170678755743,0.275372161815136,0,1094.94905598959,16.6330043475348,0.065684105235599,1522.43833787969,1.18161728961153,15.1906650419479,0.413621476731206,0,1606.5,11.4348120579205,5.16804115581122,19.3496911083138,1.71890893989489,7.11784130589513,0.882737481373143,0
297.5,6.58504995796104,6.2762682733913,15.9330346702924,2.98575560777602,22.1346217074321,0.283862330706556,0,1094.97428385417,16.5330043475348,0.0712742276378844,1403.03168921114,1.18876533322065,15.0989887080642,0.416132856886223,0,1615,11.3630145276789,5.22149007900542,19.1516211822522,1.72977320546136,7.0359223081603,0.893015163042991,0
306,6.57561426476695,6.24704291139474,16.0075737302201,2.9900439156488,21.4889355057744,0.292391649902398,0,1095.00634765625,16.4330043475348,0.0769848677980635,1298.9565723787,1.19600039186158,15.0072229103584,0.418677415849054,0,1623.5,11.2941403453635,5.27336178522977,18.963235232616,1.74032498297464,6.95666174645121,0.903189710263665,0
314.5,6.56582663127418,6.21665111156413,16.0858311340621,2.99450521371104,20.8770322139084,0.30096161383483,0,1095.03841145833,16.3330043475348,0.0828166813471806,1207.48620173253,1.20332406426768,14.9154624866383,0.42125313330433,0,1632,11.2280104528247,5.32367602070298,18.7840130787664,1.75057819966465,6.87990836570143,0.913265842100935,0
323,6.55568161534362,6.18510441544064,16.1678758001818,2.99914348935402,20.2962279112805,0.30957404176997,0,1095.07731119792,16.2330043475348,0.0887770080738044,1126.41777606276,1.21073798858148,14.8236149005565,0.42386323102226,0,1640.5,11.1644496323441,5.37245615910601,18.6134604059087,1.76054762252221,6.8055163866773,0.923248869032151,0
331.5,6.54515023678487,6.15231853850901,16.2540348608534,3.00397364045075,19.7440429465607,0.318231950983174,0,1095.1162109375,16.1330043475348,0.0948603522748994,1054.18120006772,1.21824384357651,14.7317738395305,0.426505685983288,0,1649,11.1033026798883,5.41972172100845,18.451131838074,1.77024620491463,6.73335517276431,0.933143306117935,0
340,6.53424258770274,6.11830062522552,16.344407724541,3.00899280239331,19.2183605520669,0.326936592232049,0,1095.15511067708,16.0330043475348,0.101080728805799,989.308260649016,1.22584334992509,14.6399393028649,0.429181103636818,0,1657.5,11.0444246286945,5.46549478368379,18.2966051488204,1.77968645140948,6.66330294340545,0.942953571306245,0
348.5,6.52293666030109,6.08300033468828,16.4392560410938,3.01421297353609,18.7171783652829,0.335690838894488,0,1095.20084635417,15.9330043475348,0.107435275228195,930.792980123128,1.23353827151369,14.5480204846211,0.431892800386253,0,1666,10.9876946345271,5.50979340259745,18.1495008420566,1.78887803705376,6.59525488266935,0.952682711882781,0
