A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity 1 (m/ms),A0 Energy velocity 2 (m/ms),A0 Energy velocity absolute (m/ms),A0 Skew angle (deg),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity 1 (m/ms),A1 Energy velocity 2 (m/ms),A1 Energy velocity absolute (m/ms),A1 Skew angle (deg),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity 1 (m/ms),A2 Energy velocity 2 (m/ms),A2 Energy velocity absolute (m/ms),A2 Skew angle (deg),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m)
170,1.0076082532709,1.37791393369352,-0.29749100514326,1.4096622669306,12.1831345542526,72.5734732444052,19.9018599523278,5.92710737218174,1.06007617420077,0,593.418838766666,18.0604812727561,1.87328010552669,-1.71692353736257,2.54106371169865,42.5062935325865,53.3822996918466,1.08821208376985,30.4346274383405,0.206448569804546,0,807.5,8.07600892332738,3.96000118720267,-3.41367587125618,5.22826858115028,40.7626236391867,25.2525176818545,2.43416836562564,10.0012494406531,0.628240035853888,0
178.5,1.02075663628072,1.38482493571338,-0.286117461605007,1.4140733023464,11.6735756828036,72.2112935874354,19.6348946923166,5.71852457300126,1.09874238135554,0,593.8088152,17.9604812727561,1.88339561865911,-1.72626651390155,2.55483368018392,42.5074801305427,53.0955891631495,1.09427174348322,30.2462355105101,0.20773445690444,0,816,7.99034520599574,3.9992696175537,-3.45986786198834,5.28817956354622,40.8638997105073,25.0045657239705,2.46028081481048,9.79208971323008,0.641659287362368,0
187,1.03318917714915,1.39119541326898,-0.275379542301506,1.41818848190881,11.1966484881069,71.8806280168966,19.3891067398361,5.52507581363181,1.13721250515284,0,594.194233333333,17.8604812727561,1.89353226956809,-1.7356667236595,2.56865790472663,42.5092765162081,52.8113524164073,1.10039927114771,30.0583214558676,0.209033139671645,0,824.5,7.90970385812973,4.03522066280214,-3.50129959299642,5.34248113121818,40.9476790959167,24.7817922132065,2.48537963886045,9.59333396983594,0.654953254722043,0
195.5,1.04495091930373,1.39709094031807,-0.265258945245046,1.42204971908557,10.7505123158257,71.5773018879024,19.162293667921,5.34501749004463,1.17552193587436,0,594.591166666667,17.7604812727561,1.90385130340245,-1.74519703408248,2.58270448817466,42.5104471755251,52.5251104544172,1.10659581343317,29.8700725278565,0.210350520619592,0,833,7.83360317681967,4.06830099469379,-3.5387343842276,5.39200463886496,41.0177576538418,24.5802855124112,2.50953959923475,9.40408544636215,0.668133583325761,0
204,1.05610677093227,1.40256472458039,-0.255734103149004,1.42568851371914,10.3334075315031,71.2979574114965,18.9521116876444,5.1769939751582,1.2136744484018,0,595,17.6604812727561,1.91422822928948,-1.75481834019421,2.59685523679906,42.5122219923683,52.2403747212095,1.11286254298892,29.6814811306826,0.211687054278584,0,841.5,7.76161232198624,4.0988609171139,-3.57277323810572,5.43740465928077,41.0770435448516,24.3970220073757,2.53283129781141,9.22354405464794,0.681211611280087,0
212.5,1.06670428526008,1.40766229195906,-0.246781037405989,1.42913050790564,9.94362702108982,71.0397661223336,18.7567584148228,5.01978487181212,1.25168417922886,0,603.5,15.9197667282339,2.11424094823286,-1.94042216958336,2.86971304896416,42.5452983110512,47.2982987504725,1.23456414311308,26.3790666582169,0.238188310018256,0,850,7.69337264165317,4.12715837229969,-3.60384426712275,5.47915410731592,41.1275371931708,24.2297462271309,2.55531217672519,9.05102663723903,0.694195869596539,0
221,1.07679210468491,1.41242066895038,-0.238376245417448,1.43239498060331,9.57961634724552,70.8004365826178,18.5745770574642,4.87236246463758,1.28955621688276,0,612,14.6514889343016,2.2861311677966,-2.10074559252884,3.1047588893343,42.5801702526652,43.742022071455,1.34145055225994,23.9403413959177,0.262451783926982,0,858.5,7.62855839395738,4.15340564580406,-3.63230398218026,5.5176453925166,41.1708741293131,24.0766273578465,2.57703737432336,8.88591542685775,0.707094880532917,0
229.5,1.08640213188112,1.41688168886268,-0.23048165665608,1.43550531670534,9.23927768046903,70.5775230113032,18.4043471921652,4.73377835242317,1.32730872453361,0,620.5,13.6766002215,2.43558323169045,-2.24091869775357,3.30964987399471,42.6163762811052,41.0579276038921,1.43709056207854,22.0412574077357,0.285064739771807,0,867,7.56688954462872,4.17777170247819,-3.65842913727864,5.55318648620023,41.2082792749931,23.9362050206529,2.5980541340945,8.72766960164789,0.719915578150809,0
238,1.09557576624078,1.42107030477998,-0.223075360354737,1.4384726022851,8.92131623922857,70.3694952062789,18.2447864531034,4.60325952202009,1.36494266228602,0,629,12.8980096925595,2.56581804047565,-2.36375399163782,3.48866093935969,42.6527496631753,38.9739250494403,1.52386065378753,20.5055797973919,0.306413443036551,0,875.5,7.50812209232422,4.20039091440231,-3.68243386049886,5.58601852581443,41.2406681170946,23.8073079477245,2.61840369490048,8.57581049951367,0.732663729863889,0
246.5,1.10433282443079,1.42500729233939,-0.216137664026873,1.44130540588434,8.6245886199491,70.1750794803536,18.095077760422,4.48005202608842,1.40248043339477,0,637.5,12.257812004371,2.67827433861491,-2.47028653865146,3.64355170347914,42.6866648290312,37.3374745664463,1.60346870374808,19.2279403990134,0.326773704140563,0,884,7.45201186516906,4.22138581291986,-3.70450942404258,5.6163589855298,41.2688176707821,23.6889032255575,2.63813296446102,8.42987767553061,0.74534715081546,0
255,1.11271787868402,1.42871949066016,-0.209634727304201,1.44401734819362,8.34739348050067,69.9927457095117,17.9540541228814,4.36359952425107,1.43990878912243,0,646,11.718846556476,2.77263218319613,-2.5596238580823,3.7734816175727,42.712414354306,36.066810666796,1.67723498527678,18.1406293443901,0.346359830626419,0,892.5,7.39837972625145,4.24084722028582,-3.72479711189483,5.64436875749503,41.2933027577508,23.5801939578621,2.65727092224604,8.28950109383916,0.757969054597183,0
263.5,1.12075492043163,1.43223037709936,-0.203535966870309,1.44662045571602,8.08821297773999,69.8211695541089,17.8209673453962,4.25333935647676,1.47723583297248,0,654.5,11.2556630410221,2.84621266209031,-2.62800706756692,3.87393180954762,42.7173651986405,35.1344090805071,1.74627609581897,17.197346128376,0.365357844185748,0,901,7.34703202940972,4.25886277638023,-3.74342797337635,5.67019974426771,41.3146178588751,23.4804466005815,2.67585579887977,8.15430857870113,0.770535631137522,0
272,1.12845054487843,1.43555677596792,-0.197817582361108,1.44912216631953,7.84586174266405,69.6593835047555,17.6954019662334,4.14871523852362,1.51448941321303,0,663,10.8496093233396,2.89225723503307,-2.66631159097923,3.93374750254656,42.6723129091418,34.5750712587833,1.81165301531699,16.3644182855801,0.383954088530979,0,909.5,7.2978100678247,4.27550266735301,-3.76050495391432,5.69397230121089,41.3331419972179,23.3890627091833,2.69391706466461,8.0239802834796,0.78305094045606,0
280.5,1.1358493166244,1.43870959751376,-0.192459646239104,1.45152541190593,7.61935960446632,69.5067303177865,17.5763655613257,4.04937367780534,1.55164373730629,0,671.5,10.4855261725816,2.89592919740477,-2.65403960597753,3.92814614627292,42.5044026954933,34.5312309740226,1.87458012304786,15.6150799293844,0.402379324063266,0,918,7.25056590080066,4.29083131592995,-3.77612722470762,5.71580004889458,41.3492496567441,23.3055071703109,2.7114835082211,7.8982199355127,0.795519162353096,0
289,1.14294823580449,1.44170953621337,-0.1874314450918,1.45384212809293,7.40727188459977,69.362099291268,17.4636743245374,3.95483818617471,1.58873385241001,0,680,10.1486997870509,2.82521530422784,-2.54481042189755,3.80235474392403,42.0109196478379,35.3955324574213,1.93681910978306,14.924558510369,0.42099639348221,0,926.5,7.20515080331167,4.30490641833579,-3.79036718426953,5.73577393750974,41.3631467440118,23.229308673023,2.72858726858105,7.77674128797806,0.807945780180789,0
297.5,1.14978718479977,1.44456269210781,-0.182724260091861,1.45607332461517,7.2091177327152,69.2251022031357,17.3564907231155,3.86483087327653,1.62573357365385,0,688.5,9.81992405293908,2.61450698191214,-2.2361789021466,3.44036957911107,40.5402579652867,38.248128879298,2.00169070279953,14.2627800333175,0.440530197654471,0,935,7.16145856603491,4.31777058758669,-3.80329147782177,5.75396983936312,41.3750872298347,23.1601003275842,2.74524715953987,7.65931397436889,0.820332647049804,0
306,1.15636232668048,1.44728607533819,-0.178295089575017,1.45822704776533,7.02303659816798,69.0948401314735,17.2546950854997,3.778961851897,1.66267497620424,0,697,9.46477854640581,2.17432795187937,-1.56197479918711,2.6772126018715,35.6923819339234,45.9912222135422,2.07683216766219,13.5793092487888,0.462702865960579,0,943.5,7.11936182871871,4.32947739773394,-3.81497449233192,5.77047700928028,41.3853031422611,23.097475933779,2.76149233091575,7.5456935121555,0.832684934401044,0
314.5,1.16270310071095,1.4498881405821,-0.174152884463573,1.46030984635713,6.84925207099955,68.9708379570938,17.1576707035241,3.69698919144977,1.69954116222764,0,705.5,9.02286251658981,1.60343932400522,-0.592017911336446,1.70924043747785,20.2650300686708,62.3659395793106,2.17859783730404,12.7893161113959,0.491283916391821,0,952,7.07876171053325,4.34005726080421,-3.82545490612229,5.78534374655772,41.3939063958447,23.0411706553084,2.77734320496763,7.43567406568619,0.845005476527669,0
323,1.16881786082335,1.45237740590995,-0.170229307031473,1.46231944053621,6.68498602284131,68.8526271429758,17.0651490646471,3.6186311480599,1.73634312260543,0,714,8.47722633991346,1.28208670395179,0.0921270083008219,1.28539243116973,-4.11004320357664,77.997844991114,2.31889745280076,11.8728660222878,0.529205441667141,0,960.5,7.03956603100967,4.34954475113937,-3.8347761425814,5.79862463053745,41.4010126113075,22.9909118589491,2.79281943063019,7.32906406143641,0.857297092031169,0
331.5,1.17471466317783,1.45475708864085,-0.16657519473336,1.46426277780023,6.53213496085132,68.7399984374217,16.9768804006045,3.54363397640371,1.7730909425234,0,722.5,7.92849351819063,1.20586235255701,0.396523200639622,1.26938357558298,-18.2023939946087,82.9282046893258,2.47948587770481,10.9736934507829,0.572567963134721,0,969,7.00167499491747,4.35797590458133,-3.84299304865123,5.81038290966208,41.406808497046,22.9464325158096,2.80794543910192,7.22567078938852,0.869564292412402,0
340,1.18041855256466,1.45703533545721,-0.163135162921272,1.4661395056925,6.38844495380685,68.6325153319775,16.8923774307046,3.471819272249,1.80976739123561,0,731,7.44592786359702,1.21303768666464,0.541941869444615,1.32859377505912,-24.0733841798415,82.4376695788892,2.64029008598642,10.1859478298181,0.616848369160732,0,977.5,6.96502156688077,4.36537129621574,-3.85012589866676,5.82064738576465,41.4113222505645,22.9075588797425,2.82273418813602,7.12534175639977,0.88180827278021,0
348.5,1.18592469969247,1.45923251219879,-0.159886011729459,1.46796561996688,6.25287344545933,68.5291748669432,16.8116104704279,3.40294031475602,1.84639891564777,0,739.5,7.03603256403557,1.24289077565942,0.626934953970807,1.39205779934946,-26.7671432509057,80.4575928620472,2.79422308589815,9.51458088442944,0.660374364724986,0,986,6.92951970630595,4.37175899569057,-3.85621366911235,5.82946486208214,41.4146689077164,22.8740880040675,2.83720764382994,7.02791045264295,0.894033205106747,0
357,1.19125609117414,1.46134623534801,-0.156822117743657,1.46973670981554,6.12516716034718,68.430052769928,16.7341507015566,3.336851796006,1.88296804631844,0,748,6.68772404491971,1.27800295783703,0.684246885449366,1.44965008208442,-28.1647394494415,78.247080248739,2.93987585076575,8.9408075466841,0.70275366899155,0,994.5,6.89510075758201,4.3771610293661,-3.86128372470575,5.83686993856115,41.4169146540391,22.8458581553446,2.85138208522071,6.93323354206335,0.906241693584966,0
365.5,1.19641306701652,1.46336829229701,-0.153954414226295,1.47144443339191,6.00573941400624,68.3354973087687,16.6599114107538,3.27335996447747,1.91949109641615,0,756.5,6.38892872195957,1.31292593400631,0.726298920295762,1.50042814883257,-28.9509774123871,76.1657587910205,3.07749640856153,8.44537835024398,0.743979138246431,0,1003,6.86169865067315,4.38159553557302,-3.8653591968328,5.84289150659957,41.4181177360025,22.8227364183038,2.86527390063047,6.84117512529726,0.918436553969457,0
374,1.20141140541843,1.46532111833087,-0.151240848022528,1.47310548635764,5.89282872458108,68.2444269375638,16.5885911928455,3.21232996101184,1.95595887827179,0,765,6.12973835810776,1.34582871521486,0.758676442555054,1.54494170607983,-29.4110155535378,74.3036605397703,3.20775888129944,8.01272987987943,0.78415039585412,0,1011.5,6.82925213130523,4.3850814997206,-3.86846380196618,5.84755948634252,41.4183334260303,22.8045932570174,2.87889856921928,6.7516086320368,0.930620486111337,0
382.5,1.20624866455543,1.46720415574905,-0.148677179562375,1.47471791823722,5.786240111732,68.1568407560479,16.5201570442822,3.15359127988348,1.99239050008146,0,773.5,5.90250054307098,1.37612810355247,0.784277138861386,1.5839252469506,-29.6794984679322,72.6676533542554,3.33138976390484,7.63089921534709,0.823387274535481,0,1020,6.79770372492435,4.38763343410093,-3.87061574503614,5.85089680286381,41.4176039124396,22.7913296545683,2.89227098317248,6.6644154165925,0.942796166567925,0
391,1.21094893100203,1.46902001611394,-0.146257473672296,1.47628285106493,5.68570260818702,68.0725918660621,16.4542076442409,3.09705608951927,2.02876057958475,0,782,5.70133021914574,1.40371768406328,0.804786843332894,1.61805599401062,-29.8267376617111,71.2393960233759,3.44907696304407,7.2907036050457,0.861807809993971,0,1028.5,6.76700335039684,4.38926122866126,-3.87182930122184,5.85292031991116,41.4159710666706,22.7828772976678,2.90540380008337,6.57948794399304,0.954965699559649,0
399.5,1.21550690422613,1.47077237561946,-0.143967570557097,1.47780176013477,5.59062664292367,67.9914864173878,16.3907630369668,3.0425704736574,2.06509113316502,0,790.5,5.52170569174173,1.42867744707116,0.821281798251609,1.64791475504929,-29.8926404991944,69.9948054790139,3.56142002275172,6.98507993895222,0.899515161185411,0,1037,6.73709806188049,4.38997145292946,-3.87211068017505,5.85363907984267,41.4134377731535,22.779191407559,2.91831172958541,6.49671944250771,0.967132006050472,0
408,1.2199268919327,1.47246685777893,-0.141803365356833,1.47927916286409,5.50080705365773,67.9132433247699,16.3297114108034,2.99001689199192,2.10138789650576,0,799,5.36008638578069,1.45116557591229,0.834494217204622,1.67399585640491,-29.9010978622485,68.9101241511563,3.66895013375197,6.70849359922489,0.936601520780396,0,1045.5,6.70793536123607,4.38980444736293,-3.87150823736883,5.85311533442679,41.4100964816142,22.7800580183185,2.93101012357097,6.4160070408762,0.979298380932189,0
416.5,1.22422170420618,1.47410324385622,-0.139753131926544,1.48071310908991,5.4157693618308,67.8378535674357,16.2708291418996,2.93930781322012,2.13764114085627,0,807.5,5.2136758205189,1.47136126513837,0.844958099733196,1.69671982450089,-29.8674429974831,67.9642738798045,3.772128748218,6.45656448361474,0.973146837319577,0,1054,6.67948451692171,4.38873395810705,-3.86999094110346,5.8513088825719,41.4058869656738,22.7856144743693,2.94350554841769,6.33727183768663,0.991465328947166,0
425,1.22839488605394,1.47568697910471,-0.137808914181231,1.4821077414031,5.33516616469134,67.7650486966208,16.2140255899886,2.89034090836221,2.17385613198822,0,816,5.08024376447504,1.48944731911853,0.853077661857027,1.71644831369571,-29.8018289161945,67.1389976109937,3.87135240938369,6.22578892705275,1.00921913363902,0,1062.5,6.65168633033597,4.38676656485631,-3.86757725384126,5.84823688892401,41.4008986981857,22.7958334507995,2.95581770911793,6.26041066384562,1.00363788328863,0
433.5,1.23245803283345,1.47721985644838,-0.1359606704774,1.48346345024137,5.25858579703995,67.6947304515837,16.1591049619085,2.84304044482918,2.21002318788929,0,824.5,4.95797034437866,1.50560154381541,0.859168223495294,1.73349532592488,-29.7111471427803,66.4186354024223,3.96697867275361,6.01330545103537,1.04488045025182,0,1071,6.62451657073555,4.38391927254259,-3.86427437033196,5.84391688830144,41.395069882195,22.8106390157139,2.96795151788245,6.18535627519659,1.01581623234466,0
442,1.23640611002643,1.47870224051543,-0.134207272987102,1.48478008749713,5.18596643396233,67.6268671677561,16.1060999478926,2.79729889146251,2.24616158336035,0,833,4.84537753773614,1.51998864740848,0.863488346725629,1.74813546762876,-29.6004165577583,65.7899650569733,4.05931276575217,5.81677975718625,1.08018277628908,0,1079.5,6.59794015071893,4.3802189856203,-3.86011803284333,5.83839272312773,41.3884835045369,22.8299088078215,2.97991715847085,6.11203348839178,1.02800243472371,0
