A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity 1 (m/ms),A0 Energy velocity 2 (m/ms),A0 Energy velocity absolute (m/ms),A0 Skew angle (deg),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity 1 (m/ms),A1 Energy velocity 2 (m/ms),A1 Energy velocity absolute (m/ms),A1 Skew angle (deg),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity 1 (m/ms),A2 Energy velocity 2 (m/ms),A2 Energy velocity absolute (m/ms),A2 Skew angle (deg),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m)
493,1.27600641483202,1.44105926301356,0.097541198510418,1.44435663356528,-3.87228170475488,69.3933987078916,15.5933140787384,2.5882483059473,2.42758211905018,0,1045.5,5.09109846122381,2.99899375617691,-2.12712783671033,3.67676983006769,35.3473351561774,33.3445175716135,3.86308578122133,4.86953463531689,1.29030508615957,0,909.5,6.95549791071886,3.85554920399545,2.88989618611343,4.81837728192209,-36.8531006005733,25.936642151103,2.82660228866855,7.64760627896521,0.821588491612275,0
501.5,1.27848926920058,1.44115471353194,0.097082062337946,1.44442093420274,-3.85385505461815,69.3888026462634,15.5622633717591,2.54933054676088,2.46464128206633,0,1054,5.06266656063791,3.00331326122066,-2.13246012622947,3.68337844037,35.37611798963,33.2965599330641,3.88481405781594,4.80328895696196,1.3081006292725,0,918,6.90442574477433,3.87736006024227,2.92018268831606,4.85400741345775,-36.9847501422102,25.7907438170062,2.84752788643623,7.52116094201996,0.835400991365052,0
510,1.28089938369507,1.44127418030732,0.0966416423300056,1.44451059873328,-3.83610703159835,69.383051029664,15.5322419469523,2.51156741900993,2.50169884336867,0,1062.5,5.0350859144454,3.00707652513174,-2.13719180410828,3.68918663604133,35.4021996106716,33.2548903109871,3.90612680895975,4.73890439006626,1.32587298455535,0,926.5,6.85562705346819,3.8980296642272,2.94871553240477,4.88769460525515,-37.1061600257205,25.6539864018263,2.86781361362021,7.39948953423442,0.849137670660909,0
518.5,1.28323888936647,1.4414183444768,0.0962171299490873,1.44462610383791,-3.81892549988376,69.3761116494583,15.5032120763697,2.47490624757275,2.53875689769735,0,1071,5.00832083862424,3.01030929288857,-2.14133041766241,3.69421953820527,35.4254736574233,33.2191779217623,3.92703428762812,4.67630330403757,1.34362227996516,0,935,6.80893435694345,3.91761603093573,2.97561142165352,4.91955066022493,-37.2183588847777,25.5257276900909,2.88749643559326,7.28228273469888,0.862804361775359,0
527,1.28551899352669,1.44158644060807,0.0958086916315406,1.44476668397953,-3.80231984262973,69.3680220506369,15.4750248689331,2.43931497822901,2.57579909247362,0,1079.5,4.98230976243187,3.01301798361913,-2.14491509009909,3.69850484836063,35.446402315489,33.1893140179281,3.94756851881445,4.61538653305407,1.36135625091879,0,943.5,6.7642100791502,3.93617416485049,3.00100785125404,4.94969849377968,-37.3225293347016,25.4053798973091,2.90660461265227,7.1692740637522,0.876404675188431,0
535.5,1.28773229776034,1.44177747298192,0.0954133736423114,1.44493113796746,-3.78617649327997,69.3588309388534,15.4477625859589,2.40472884735824,2.61284564955509,0,1088,4.95702058956055,3.01522035104376,-2.14794810240711,3.70205818646639,35.4648757424896,33.1650719873205,3.96773995480484,4.55608510069904,1.37907549317188,0,952,6.72132510349391,3.95375062134546,3.02499305606668,4.97822528267265,-37.4194058755445,25.2924399075959,2.92516609179434,7.06021544484655,0.889942432530988,0
544,1.28988940481618,1.44198976150722,0.0950336235961163,1.44511794048287,-3.77059730558818,69.3486199898369,15.4212859657778,2.3711202294415,2.649880520255,0,1096.5,4.93241362632899,3.01693188140495,-2.15045033964337,3.70490413375432,35.4810359551836,33.1462571682034,3.98756626797853,4.49832524061011,1.39678324067279,0,960.5,6.68015468495071,3.97039146099944,3.04766528577352,5.00522447525446,-37.5097788238412,25.1864333737076,2.94320998934373,6.95487213425373,0.903422117026998,0
552.5,1.29198331537624,1.44222289502611,0.0946656861440911,1.44532642370871,-3.75543529952049,69.3374098725495,15.3956728036431,2.33843134004749,2.68692315210417,0,1105,4.90845814035279,3.01816305251288,-2.15244603103688,3.70706516372187,35.4951083970554,33.1327361246244,4.007059100253,4.44204356593012,1.41448079333818,0,969,6.64059708291663,3.98613351563156,3.06909210301295,5.030764031558,-37.5941892964315,25.0869670089703,2.96075807454291,6.85304136523904,0.916846254430922,0
561,1.29402406023849,1.44247596042991,0.0943104084036313,1.44555572343353,-3.74072684143629,69.325245441315,15.3707927558034,2.30663825354455,2.72395781936088,0,1113.5,4.88510566913408,3.01892681802979,-2.15393782210085,3.70855325889975,35.5070215520677,33.1243537944593,4.02624572585127,4.38716270241049,1.4321751285238,0,977.5,6.60254341148023,4.00101756198091,3.08936080145252,5.05492746662413,-37.6733017155236,24.9936418550709,2.97783770156336,6.75452011404627,0.930219349575031,0
569.5,1.29602096097284,1.44275071573071,0.093965527232768,1.44580743809458,-3.72637832554954,69.312043244666,15.3465259479375,2.27571722734476,2.76096925913358,0,1122,4.86233849163262,3.019233125529,-2.15494958910162,3.70939030001709,35.5169954209387,33.1209932596639,4.04512933518375,4.33363501928041,1.44986490076474,0,986,6.56590660724683,4.01507668404404,3.10853538956132,5.07777835740289,-37.7475987925059,24.9061245573219,2.99446870591828,6.65913449010835,0.943543836892436,0
